term,estimate,std.error,statistic,p.value,Species,Temperature,N.Treatment
r,0.7220811546436258,0.04525229225034731,15.956786247399076,9.215162735494559e-7,CH,13,11
r,0.7701687321166484,0.045784840067290423,16.821479139923255,6.422434013698567e-7,CH,13,22
r,0.8148019681404238,0.058524283251739286,13.922459582043812,2.332451688847496e-6,CH,13,33
r,0.6530540646242264,0.07627566905371039,8.561761210699718,5.895069251138157e-5,CH,13,55
r,0.6420502430801962,0.0498381895100444,12.882695968536282,3.943532688962881e-6,CH,13,110
r,0.6705587212495522,0.08141339911960857,8.236466337247512,7.564359857893847e-5,CH,13,220
r,0.643807397048267,0.063532714727629655,10.133478473386916,1.960219373058439e-5,CH,13,440
r,0.6254563368393963,0.0662451058038078,9.441547858520362,3.1207210158576605e-5,CH,13,330
r,0.7264919519746224,0.11571799609875116,6.278124202519462,7.594472983617114e-4,CH,16,0
r,1.0263558612812675,0.08094769831382503,12.679247003444155,5.4239979009048357e-5,CH,16,11
r,1.0561586733619885,0.041926300142496445,25.190838919064728,1.839864593981939e-6,CH,16,22
r,1.094455930112166,0.08764890365257447,12.486818254457642,5.843264814523918e-5,CH,16,33
r,1.154888651985764,0.11002032026253494,10.497048629107077,1.354064964205054e-4,CH,16,55
r,1.0512799564433974,0.06571696788346267,15.997085536685976,3.7899231866359324e-6,CH,16,110
r,1.0015939566707857,0.05724705925215151,17.495989658772608,2.2363413984116954e-6,CH,16,220
r,1.0231957450552929,0.05743280320777281,17.815528546529592,2.0098176994405395e-6,CH,16,440
r,0.9911985678931645,0.053055439439231473,18.68231756007716,1.5180429073146709e-6,CH,16,330
r,0.9073500400541223,0.11956321314188102,7.588873000405277,6.307171325375037e-4,CH,19,0
r,1.2467780156731696,0.109047777206686,11.433318932398436,3.339117204312121e-4,CH,19,11
r,1.2385478074171825,0.1583428802934237,7.821935568697761,0.0014420958851292475,CH,19,22
r,1.310032512979442,0.09979173615102803,13.127665310850956,4.5786558548027855e-5,CH,19,33
r,1.2457195403656929,0.08500387959454711,14.654855123172569,2.6728245698140878e-5,CH,19,55
r,1.3295160392712027,0.09316140818158743,14.271102865681783,3.0439411204007023e-5,CH,19,110
r,1.364471739946027,0.041934509709986405,32.53815889067347,5.15174044145138e-7,CH,19,220
r,1.3817792339055852,0.07083846833752896,19.50605746191075,6.535879061432155e-6,CH,19,440
r,1.3890562614990059,0.0711211701316382,19.530840942689796,6.494973987219393e-6,CH,19,330
r,1.2894608754954429,0.08785433845749055,14.677258950841285,2.652882155643411e-5,CH,22,0
r,1.4947478552124676,0.09300527371890574,16.07164621363424,1.6988461792527937e-5,CH,22,11
r,1.3115357552979054,0.10885866573247789,12.048060174842009,6.189988425552844e-6,CH,22,22
r,1.365997068110727,0.07366771712271937,18.542682214994944,3.2910192499735064e-7,CH,22,33
r,1.255056156774125,0.03795444210996451,33.06743788086465,7.631605728513075e-10,CH,22,55
r,1.3682903825248172,0.06282185066933345,21.78048510106611,2.0822265808479063e-8,CH,22,110
r,1.3478013738956116,0.05209289288696141,25.873037552747615,5.3439584802826965e-9,CH,22,220
r,1.425172729013602,0.08991816664499404,15.849664002162402,2.512069582385024e-7,CH,22,440
r,1.466814371225095,0.06140281215468092,23.888390771582525,1.0045104153451898e-8,CH,22,330
r,1.520510091939754,0.14537022954909554,10.4595700003778,4.480346662416321e-5,CH,25,0
r,1.6231793174528022,0.20338541559777468,7.980804880635512,2.0619438311359606e-4,CH,25,11
r,1.564097726241214,0.06721597932351875,23.26973053108428,2.727670328363502e-6,CH,25,22
r,1.7153562567858047,0.12353358653259125,13.88574803770674,8.688406401749822e-6,CH,25,33
r,1.5247471106043788,0.16997741181584644,8.970292548378664,1.0725156289621936e-4,CH,25,55
r,1.6601060030158314,0.09763605370136266,17.00300186336456,1.453206564704252e-7,CH,25,110
r,1.7086617478707515,0.06887710240984456,24.807398802922545,7.453714371168724e-9,CH,25,220
r,1.7397547810096425,0.05653477812264928,30.77317783463012,1.3510952103827315e-9,CH,25,440
r,1.7343904780084383,0.052519909494018725,33.023485659394765,7.712705583006445e-10,CH,25,330
r,1.2542932211318778,0.19890049052286893,6.306134378223986,7.41717147400754e-4,CH,28,0
r,1.5189256047373323,0.1804171490604834,8.418964675182428,1.5311588728012188e-4,CH,28,11
r,1.5732857969804646,0.1719101810823496,9.151789539601603,9.579073217314224e-5,CH,28,22
r,1.7335321079145023,0.10679940570736553,16.23166436585281,3.4789435408106997e-6,CH,28,33
r,1.427379324623651,0.1381550285999961,10.331721827921154,4.8070799549018036e-5,CH,28,55
r,1.6240315160684422,0.13069817074049214,12.425816726180807,1.6590951142537373e-5,CH,28,110
r,1.7229426608952503,0.062073624017707565,27.756437426687885,3.063061154739361e-9,CH,28,220
