"","X","unique_ID","unique_ID","species","temperature","replicate","start_time","cell_count","volume"
"160",160,"BB_30_3","BB_30_3","BB",30,3,2016-09-30 14:53:59,35232,803.08
"161",161,"BB_30_4","BB_30_4","BB",30,4,2016-09-30 14:56:15,47007,872.73
"162",162,"BB_30_5","BB_30_5","BB",30,5,2016-09-30 14:58:57,27610,849.17
"163",163,"CH_10_1","CH_10_1","CH",10,1,2016-09-30 09:02:34,52998,574.91
"164",164,"CH_10_2","CH_10_2","CH",10,2,2016-09-30 09:03:57,66471,569.6
"165",165,"CH_10_3","CH_10_3","CH",10,3,2016-09-30 09:05:24,58301,612.61
"166",166,"CH_10_4","CH_10_4","CH",10,4,2016-09-30 09:07:10,64119,613.15
"167",167,"CH_10_5","CH_10_5","CH",10,5,2016-09-30 09:08:36,66943,636.77
"168",168,"CH_30_1","CH_30_1","CH",30,1,2016-09-30 14:10:50,28904,525.05
"169",169,"CH_30_2","CH_30_2","CH",30,2,2016-09-30 14:16:10,26469,511.31
"170",170,"CH_30_2","CH_30_2","CH",30,2,2016-09-30 14:14:53,38829,385.6
"171",171,"CH_30_3","CH_30_3","CH",30,3,2016-09-30 14:18:55,25658,533.74
"172",172,"CH_30_4","CH_30_4","CH",30,4,2016-09-30 14:26:34,28947,494.58
"173",173,"CH_30_5","CH_30_5","CH",30,5,2016-09-30 14:29:52,34147,516.98
"174",174,"CO_NT_1","CO_NA_1","CO",NA,1,2016-09-30 09:28:19,148,79.87
"175",175,"CO_NT_1","CO_NA_1","CO",NA,1,2016-09-30 10:00:56,15961,975.51
"176",176,"CO_NT_2","CO_NA_2","CO",NA,2,2016-09-30 10:33:07,83950,817.39
"177",177,"CO_NT_3","CO_NA_3","CO",NA,3,2016-09-30 14:36:28,78,332.8
"178",178,"TT_10_1","TT_10_1","TT",10,1,2016-09-30 09:10:36,17225,1108.12
"179",179,"TT_10_2","TT_10_2","TT",10,2,2016-09-30 09:12:09,16524,1140.88
"180",180,"TT_10_3","TT_10_3","TT",10,3,2016-09-30 09:13:35,31170,1096.29
"181",181,"TT_10_4","TT_10_4","TT",10,4,2016-09-30 09:15:05,28003,1156.61
"182",182,"TT_30_1","TT_30_1","TT",30,1,2016-09-30 13:53:08,44850,916.03
"183",183,"TT_30_2","TT_30_2","TT",30,2,2016-09-30 13:56:55,64952,849.56
"184",184,"TT_30_3","TT_30_3","TT",30,3,2016-09-30 13:59:14,20682,959.58
"185",185,"TT_30_4","TT_30_4","TT",30,4,2016-09-30 14:01:43,34442,858.45
"186",186,"TT_30_5","TT_30_5","TT",30,5,2016-09-30 14:05:16,23461,748.58
