"","sample","date.sampled","date.measured","absorbance.1","absorbance.2","species","temp","rep","notes"
"261","1-24-5","2017-04-18","2017-06-28",0.012,0.013,1,24,5,NA
"262","2-24-5","2017-04-18","2017-06-28",0.022,0.025,2,24,5,NA
"263","3-24-5","2017-04-21","2017-06-28",0.017,0.014,3,24,5,NA
"264","4-24-5","2017-04-21","2017-06-28",0.016,0.014,4,24,5,NA
"265","1-31-5","2017-04-18","2017-06-28",0.022,0.021,1,31,5,NA
"266","2-31-5","2017-04-18","2017-06-28",0.027,0.026,2,31,5,NA
"267","3-31-5","2017-04-21","2017-06-28",0.057,0.057,3,31,5,NA
"268","4-31-5","2017-04-21","2017-06-28",0,0,4,31,5,NA
"269","1-38-5","2017-04-18","2017-06-28",0,0,1,38,5,NA
"270","2-38-5","2017-04-18","2017-06-28",0,0,2,38,5,NA
"271","3-38-5","2017-04-21","2017-06-28",0,0,3,38,5,NA
"272","4-38-5","2017-04-21","2017-06-28",0,0,4,38,5,NA
"273","","","",NA,NA,NA,NA,NA,NA
"274","","","",NA,NA,NA,NA,NA,NA
"275","","","",NA,NA,NA,NA,NA,NA
"276","","","",NA,NA,NA,NA,NA,NA
"277","","","",NA,NA,NA,NA,NA,NA
"278","","","",NA,NA,NA,NA,NA,NA
"279","","","",NA,NA,NA,NA,NA,NA
"280","","","",NA,NA,NA,NA,NA,NA
"281","Blank","-","",NA,NA,NA,NA,NA,""
"282","1-03-1","2017-04-25","2017-06-29",0.049,0.049,1,3,1,""
"283","2-03-1","2017-04-25","2017-06-29",0.047,0.041,2,3,1,""
"284","3-03-1","2017-04-28","2017-06-29",0.032,0.032,3,3,1,""
"285","4-03-1","2017-04-28","2017-06-29",0.032,0.03,4,3,1,""
"286","1-10-1","2017-04-25","2017-06-29",0.012,0.012,1,10,1,""
"287","2-10-1","2017-04-25","2017-06-29",0.012,0.013,2,10,1,""
"288","3-10-1","2017-04-28","2017-06-29",0.011,0.011,3,10,1,""
"289","4-10-1","2017-04-28","2017-06-29",0.048,0.047,4,10,1,""
