DAY,Temperature,N.Treatment,HOUR,MINUTE,Particles.per.ml,Hours.since.Innoc,day,log.Particles.per.ml
1,25,110,11,55,1141,24.91666667,1.0381944445833333,7.040536390215956
1,25,220,11,57,2415,24.95,1.0395833333333333,7.789868559054706
1,25,330,12,1,1890,25.01666667,1.04236111125,7.544861068658458
1,25,440,12,3,1892,25.05,1.04375,7.545918151209323
1,28,0,11,20,1751,24.33333333,1.01388888875,7.468513271496337
1,28,11,12,13,552,25.21666667,1.0506944445833333,6.315358001522335
1,28,22,12,15,432,25.25,1.0520833333333333,6.07073772800249
1,28,33,12,17,1584,25.28333333,1.0534722220833335,7.368339686311381
1,28,55,12,20,3006,25.33333333,1.0555555554166667,8.008698182988528
1,28,220,12,24,1234,25.4,1.0583333333333333,7.118826249062078
1,28,330,12,27,1451,25.45,1.0604166666666666,7.280697195384741
1,28,440,12,29,922,25.48333333,1.0618055554166668,6.827629234502852
1,13,0,11,9,991,24.15,1.0062499999999999,6.899723107284872
1,13,11,12,45,553,25.75,1.0729166666666667,6.317164686747284
1,13,22,12,47,551,25.78333333,1.0743055554166667,6.313548046277095
1,13,33,12,50,746,25.83333333,1.07638888875,6.616065185132817
1,13,55,12,52,758,25.86666667,1.0777777779166666,6.63200177739563
1,13,110,12,54,147,25.9,1.0791666666666666,4.997212273764115
1,13,220,12,56,310,25.93333333,1.0805555554166666,5.739792912179234
1,13,330,12,58,2013,25.96666667,1.0819444445833333,7.607878073278507
1,13,440,13,0,1121,26,1.0833333333333333,7.022868086082641
1,16,0,11,11,1014,24.18333333,1.00763888875,6.922643891475888
1,16,11,13,5,306,26.08333333,1.0868055554166667,5.726847747587197
1,16,22,13,7,673,26.11666667,1.0881944445833334,6.513230110912307
1,16,33,13,9,184,26.15,1.0895833333333333,5.220355825078324
1,16,55,13,12,983,26.2,1.0916666666666666,6.891625897052253
1,16,110,13,14,596,26.23333333,1.0930555554166668,6.391917113392602
1,16,220,13,16,839,26.26666667,1.0944444445833332,6.733401891837359
1,16,330,13,19,3361,26.31666667,1.0965277779166667,8.120291313968561
1,16,440,13,21,1260,26.35,1.0979166666666667,7.13966033596492
1,19,0,11,13,767,24.21666667,1.0090277779166665,6.643789733147672
1,19,11,13,26,708,26.43333333,1.10138888875,6.5638555265321274
1,19,22,13,28,1406,26.46666667,1.1027777779166665,7.249215057114389
1,19,33,13,30,805,26.5,1.1041666666666667,6.692083742506628
1,19,55,13,32,1475,26.53333333,1.1055555554166667,7.297091005160418
1,19,110,13,34,459,26.56666667,1.1069444445833334,6.131226489483141
1,19,220,13,37,659,26.61666667,1.1090277779166666,6.492239835020471
1,19,330,13,39,3270,26.65,1.1104166666666666,8.092851027538384
1,19,440,13,41,951,26.68333333,1.1118055554166666,6.858565034791365
1,25,0,16,11,436,29.18333333,1.2159722220833333,6.07993319509559
1,25,11,16,13,2843,29.21666667,1.21736111125,7.952966790923131
1,25,22,16,15,1997,29.25,1.21875,7.599901959208498
1,25,33,16,17,2512,29.28333333,1.22013888875,7.829232537543592
1,25,55,16,19,5575,29.31666667,1.2215277779166667,8.62622695244036
1,25,110,16,21,879,29.35,1.2229166666666667,6.779921907472252
1,25,220,16,23,1101,29.38333333,1.2243055554166666,7.004881989712859
1,25,330,16,25,1427,29.41666667,1.2256944445833333,7.2640301428995295
1,25,440,16,27,3339,29.45,1.2270833333333333,8.113726085970747
1,28,0,16,9,1188,29.15,1.2145833333333333,7.080867896690782
1,28,11,16,34,529,29.56666667,1.2319444445833334,6.272877006546167
1,28,22,16,36,694,29.6,1.2333333333333334,6.543911845564792
1,28,33,16,38,1305,29.63333333,1.2347222220833334,7.174724309836376
1,28,55,16,40,4105,29.66666667,1.23611111125,8.32020459757888
1,28,110,16,42,886,29.7,1.2375,6.787844982309579
1,28,220,16,44,879,29.73333333,1.23888888875,6.779921907472252
1,28,330,16,46,829,29.76666667,1.2402777779166667,6.721425700790643
1,28,440,16,49,3684,29.81666667,1.24236111125,8.212025804623437
2,22,0,10,25,995,47.41666667,1.9756944445833333,6.903747257584598
2,22,11,10,32,3023,47.53333333,1.9805555554166665,8.014335737299424
2,22,22,10,34,3610,47.56666667,1.9819444445833332,8.191740021277457
2,22,33,10,36,2381,47.6,1.9833333333333334,7.775695749915245
2,22,55,10,38,568,47.63333333,1.9847222220833334,6.343880434126331
2,22,110,10,41,1811,47.68333333,1.9868055554166668,7.502186486602924
2,22,220,10,43,487,47.71666667,1.9881944445833335,6.1903154058531475
2,22,330,10,45,1767,47.75,1.9895833333333333,7.477604243197589
2,22,440,10,49,3426,47.81666667,1.99236111125,8.139440521874608
2,25,0,10,28,958,47.46666667,1.9777777779166668,6.8658910748834385
2,25,11,10,56,1332,47.93333333,1.9972222220833336,7.195187320178709
2,25,22,10,58,1534,47.96666667,1.99861111125,7.336285660021297
2,25,33,11,0,9218,48,2,9.129021850798594
2,25,55,11,3,14284,48.05,2.002083333333333,9.566965314664873
2,25,110,11,5,4028,48.08333333,2.0034722220833334,8.301273485191347
2,25,220,11,7,3947,48.11666667,2.00486111125,8.280964400553373
2,25,330,11,9,2447,48.15,2.00625,7.803026643632217
2,25,440,11,11,3096,48.18333333,2.0076388887500003,8.038189179973203
2,28,0,10,30,878,47.5,1.9791666666666667,6.778784897685177
2,28,11,11,16,1845,48.26666667,2.01111111125,7.520776415062797
2,28,22,11,18,714,48.3,2.0124999999999997,6.5722825426940075
2,28,33,11,20,3859,48.33333333,2.01388888875,8.258422462458876
2,28,55,11,22,12802,48.36666667,2.015277777916667,9.45743479744618
2,28,110,11,24,2498,48.4,2.0166666666666666,7.823645930834952
2,28,220,11,26,2631,48.43333333,2.018055555416667,7.875499292445208
2,28,330,11,28,1459,48.46666667,2.0194444445833333,7.286191714702382
2,28,440,11,30,1187,48.5,2.0208333333333335,7.080026499922591
2,13,0,10,21,995,47.35,1.9729166666666667,6.903747257584598
2,13,11,11,43,370,48.71666667,2.0298611112500002,5.916202062607435
2,13,22,11,45,1058,48.75,2.03125,6.9650803456014065
2,13,33,11,47,244,48.78333333,2.0326388887499998,5.501258210544727
2,13,55,11,49,484,48.81666667,2.0340277779166667,6.184148890937483
2,13,110,11,53,256,48.88333333,2.0368055554166666,5.54907608489522
2,13,220,11,56,426,48.93333333,2.0388888887500003,6.056784013228625
2,13,330,11,59,665,48.98333333,2.0409722220833335,6.501289670540389
2,13,440,12,1,1147,49.01666667,2.04236111125,7.045776576879511
2,16,0,10,21,852,47.35,1.9729166666666667,6.748759547491679
2,16,11,12,14,1665,49.23333333,2.05138888875,7.418180822726788
2,16,22,12,16,1660,49.26666667,2.0527777779166665,7.415175109613295
2,16,33,12,18,1611,49.3,2.0541666666666667,7.385230923066573
2,16,55,12,20,1249,49.33333333,2.055555555416667,7.1308988302963465
2,16,110,12,22,1311,49.36666667,2.0569444445833334,7.179307969504034
2,16,220,12,25,672,49.41666667,2.0590277779166666,6.511745329644728
2,16,330,12,27,4354,49.45,2.060416666666667,8.379079889286603
2,16,440,12,29,2255,49.48333333,2.0618055554166665,7.721348612617949
2,19,0,10,23,802,47.38333333,1.9743055554166666,6.688354713946762
2,19,11,12,35,1576,49.58333333,2.0659722220833334,7.3632795869630385
2,19,22,12,38,2356,49.63333333,2.0680555554166666,7.7651449029361315
2,19,33,12,40,1273,49.66666667,2.069444444583333,7.149916836132109
2,19,55,12,42,874,49.7,2.0708333333333333,6.774223886357614
2,19,110,12,44,1547,49.73333333,2.0722222220833335,7.344719054149673
2,19,220,12,47,1028,49.78333333,2.0743055554166667,6.9363427358340495
2,19,330,12,49,5256,49.81666667,2.075694444583333,8.567315800819449
2,19,440,12,53,1971,49.88333333,2.078472222083333,7.586803535162581
2,22,0,17,1,5922,54.01666667,2.2506944445833335,8.686598356276965
2,22,11,17,11,2602,54.18333333,2.2576388887500003,7.864419904994565
2,22,22,17,13,2358,54.21666667,2.2590277779166668,7.765993079407675
2,22,33,17,15,2665,54.25,2.2604166666666665,7.888334500738654
2,22,55,17,17,3026,54.28333333,2.2618055554166667,8.01532730902172
2,22,110,17,19,2011,54.31666667,2.263194444583333,7.60688453121963
2,22,220,17,21,818,54.35,2.2645833333333334,6.70808408385307
2,22,330,17,23,3922,54.38333333,2.265972222083333,8.274611946209552
2,22,440,17,25,4985,54.41666667,2.26736111125,8.514389264083503
2,25,0,17,3,680,54.05,2.252083333333333,6.523562306149512
2,25,11,17,30,860,54.5,2.2708333333333335,6.7580945044277305
2,25,22,17,33,1141,54.55,2.2729166666666667,7.040536390215956
2,25,33,17,35,2770,54.58333333,2.274305555416667,7.9269635448629785
2,25,55,17,37,9349,54.61666667,2.2756944445833334,9.143131622282732
2,25,110,17,39,8955,54.65,2.277083333333333,9.100078977718645
2,25,220,17,41,5039,54.68333333,2.2784722220833333,8.525161361065415
2,25,330,17,43,6547,54.71666667,2.2798611112500002,8.786914938491025
2,25,440,17,45,12374,54.75,2.28125,9.423433587436891
2,28,0,17,5,1604,54.08333333,2.2534722220833334,7.380879035564116
2,28,11,17,50,1426,54.83333333,2.2847222220833334,7.2633296174768365
2,28,22,17,52,825,54.86666667,2.28611111125,6.716594773520978
2,28,33,17,54,2415,54.9,2.2875,7.789868559054706
2,28,55,17,56,6941,54.93333333,2.2888888887500003,8.845345196421732
2,28,110,17,58,4563,54.96666667,2.2902777779166668,8.425954710981966
2,28,220,18,1,9417,55.01666667,2.29236111125,9.1503780308035
2,28,330,18,3,2601,55.05,2.2937499999999997,7.86403565907245
2,28,440,18,5,8413,55.08333333,2.29513888875,9.037652264150466
3,22,0,11,3,2291,72.05,3.002083333333333,7.73718007783463
3,22,11,11,9,3578,72.15,3.00625,8.182838710766026
3,22,22,11,11,5616,72.18333333,3.00763888875,8.633552992532433
3,22,33,11,13,8881,72.21666667,3.0090277779166663,9.091782035852047
3,22,55,11,15,17039,72.25,3.0104166666666665,9.743318800383307
3,22,110,11,17,5475,72.28333333,3.0118055554166667,8.60813018640834
3,22,220,11,20,44239,72.33333333,3.01388888875,10.697384636196217
3,22,330,11,22,49262,72.36666667,3.015277777916667,10.804928571159946
3,22,440,11,25,27404,72.41666667,3.01736111125,10.218480757480217
3,25,0,11,5,2300,72.08333333,3.0034722220833334,7.741099090035366
3,25,11,11,31,4748,72.51666667,3.021527777916667,8.465689348549121
3,25,22,11,34,918,72.56666667,3.02361111125,6.823286122355687
