root,temp,model,Species
27.376148385273694,24.1,IDE_birth_ks_var,AC
27.989009387136143,24.200000000000003,IDE_birth_ks_var,AC
28.579005889006044,24.3,IDE_birth_ks_var,AC
29.145017044128235,24.400000000000002,IDE_birth_ks_var,AC
29.687198877640263,24.5,IDE_birth_ks_var,AC
30.205769176209824,24.6,IDE_birth_ks_var,AC
30.700952962983653,24.700000000000003,IDE_birth_ks_var,AC
31.17298294101832,24.8,IDE_birth_ks_var,AC
31.62210017386371,24.900000000000002,IDE_birth_ks_var,AC
32.04855481227976,25,IDE_birth_ks_var,AC
32.45260687145908,25.1,IDE_birth_ks_var,AC
32.83452706356366,25.200000000000003,IDE_birth_ks_var,AC
33.19459769090037,25.3,IDE_birth_ks_var,AC
33.53309115315553,25.400000000000002,IDE_birth_ks_var,AC
33.85036230504868,25.5,IDE_birth_ks_var,AC
34.14671004881998,25.6,IDE_birth_ks_var,AC
34.42246216235961,25.700000000000003,IDE_birth_ks_var,AC
34.67802657189294,25.8,IDE_birth_ks_var,AC
34.9137072310602,25.900000000000002,IDE_birth_ks_var,AC
35.129916587434025,26,IDE_birth_ks_var,AC
35.327088804498466,26.1,IDE_birth_ks_var,AC
35.50572384000315,26.200000000000003,IDE_birth_ks_var,AC
35.666164581541146,26.3,IDE_birth_ks_var,AC
35.80896501154686,26.400000000000002,IDE_birth_ks_var,AC
35.93464829057144,26.5,IDE_birth_ks_var,AC
36.04377027942987,26.6,IDE_birth_ks_var,AC
36.13692229758692,26.700000000000003,IDE_birth_ks_var,AC
36.21473417151875,26.8,IDE_birth_ks_var,AC
36.27787759949392,26.900000000000002,IDE_birth_ks_var,AC
36.327069866023386,27,IDE_birth_ks_var,AC
36.36307794573315,27.1,IDE_birth_ks_var,AC
36.38672304321946,27.200000000000003,IDE_birth_ks_var,AC
36.39888562280713,27.3,IDE_birth_ks_var,AC
36.400510990470885,27.400000000000002,IDE_birth_ks_var,AC
36.39261549967618,27.5,IDE_birth_ks_var,AC
36.37629346387796,27.6,IDE_birth_ks_var,AC
36.35272487125461,27.700000000000003,IDE_birth_ks_var,AC
36.32312297709589,27.8,IDE_birth_ks_var,AC
36.2889881131043,27.900000000000002,IDE_birth_ks_var,AC
36.251752335664094,28,IDE_birth_ks_var,AC
36.212729460397114,28.1,IDE_birth_ks_var,AC
36.17209030695248,28.200000000000003,IDE_birth_ks_var,AC
36.12970643046271,28.3,IDE_birth_ks_var,AC
36.085472424117505,28.400000000000002,IDE_birth_ks_var,AC
36.03912228322748,28.5,IDE_birth_ks_var,AC
35.99063809948365,28.6,IDE_birth_ks_var,AC
35.93977816536241,28.700000000000003,IDE_birth_ks_var,AC
35.886344343544344,28.8,IDE_birth_ks_var,AC
35.83011453832208,28.900000000000002,IDE_birth_ks_var,AC
35.77084675561834,29,IDE_birth_ks_var,AC
35.7082797378367,29.1,IDE_birth_ks_var,AC
35.6421190104775,29.200000000000003,IDE_birth_ks_var,AC
35.57203723343565,29.3,IDE_birth_ks_var,AC
35.49766941349348,29.400000000000002,IDE_birth_ks_var,AC
35.418607256650645,29.5,IDE_birth_ks_var,AC
35.33439247438248,29.6,IDE_birth_ks_var,AC
35.244508810518184,29.700000000000003,IDE_birth_ks_var,AC
35.148372494032934,29.8,IDE_birth_ks_var,AC
35.04532074278996,29.900000000000002,IDE_birth_ks_var,AC
34.93459783763131,30,IDE_birth_ks_var,AC
34.81533814579386,30.1,IDE_birth_ks_var,AC
34.686545284394974,30.200000000000003,IDE_birth_ks_var,AC
34.54706635967457,30.3,IDE_birth_ks_var,AC
34.39555986859109,30.400000000000002,IDE_birth_ks_var,AC
34.230455365846254,30.5,IDE_birth_ks_var,AC
34.04991699661488,30.6,IDE_birth_ks_var,AC
33.85172175187337,30.700000000000003,IDE_birth_ks_var,AC
33.633255750767,30.8,IDE_birth_ks_var,AC
33.39135124092033,30.900000000000002,IDE_birth_ks_var,AC
33.122151917395776,31,IDE_birth_ks_var,AC
32.82091490326343,31.1,IDE_birth_ks_var,AC
32.481740226951,31.200000000000003,IDE_birth_ks_var,AC
32.09719481260754,31.3,IDE_birth_ks_var,AC
31.657779658825294,31.400000000000002,IDE_birth_ks_var,AC
31.151158926854272,31.5,IDE_birth_ks_var,AC
31.702639173325313,31.6,IDE_birth_ks_var,AC
34.497322206562295,31.700000000000003,IDE_birth_ks_var,AC
37.830289319386246,31.8,IDE_birth_ks_var,AC
41.873558558103944,31.900000000000002,IDE_birth_ks_var,AC
46.881182429020505,32,IDE_birth_ks_var,AC
53.24479724276168,32.1,IDE_birth_ks_var,AC
61.60135994423617,32.2,IDE_birth_ks_var,AC
73.06066522127958,32.3,IDE_birth_ks_var,AC
89.74450136303537,32.400000000000006,IDE_birth_ks_var,AC
116.28037952003532,32.5,IDE_birth_ks_var,AC
165.05028449363044,32.6,IDE_birth_ks_var,AC
284.14405421500965,32.7,IDE_birth_ks_var,AC
1018.6664689091889,32.8,IDE_birth_ks_var,AC
19.787262744956365,3,IDE_birth_ks_fix,AC
18.39599216169798,3.1,IDE_birth_ks_fix,AC
17.20215808919244,3.2,IDE_birth_ks_fix,AC
16.16678662798961,3.3,IDE_birth_ks_fix,AC
15.26059790727113,3.4,IDE_birth_ks_fix,AC
14.461053980945254,3.5,IDE_birth_ks_fix,AC
13.750588557462393,3.6,IDE_birth_ks_fix,AC
