N.Treatment,Temperature,day,term,estimate,std.error,statistic,p.value,N.Treatment,Temperature,log.start
220,16,4.0868055554166665,day,0.6410449266946513,NaN,NaN,NaN,220,16,4.499809670330265
220,16,5.0076388875,day,0.7132545503914186,NaN,NaN,NaN,220,16,4.499809670330265
220,16,6.2625,day,0.8199622859225298,NaN,NaN,NaN,220,16,4.499809670330265
220,16,7.006944445833334,day,0.7148734467827332,NaN,NaN,NaN,220,16,4.499809670330265
220,19,3.100694444583333,day,1.071677730312101,NaN,NaN,NaN,220,19,4.127134385045092
220,19,4.1000000000000005,day,1.089200661046862,NaN,NaN,NaN,220,19,4.127134385045092
220,19,5.022222220833333,day,1.0611874198166444,NaN,NaN,NaN,220,19,4.127134385045092
220,22,1.0229166666666667,day,3.21521721505793,NaN,NaN,NaN,220,22,5.0106352940962555
220,22,3.01388888875,day,1.886847708064819,NaN,NaN,NaN,220,22,5.0106352940962555
220,22,3.2055555554166664,day,1.0213896600736345,NaN,NaN,NaN,220,22,5.0106352940962555
220,22,3.9909722220833337,day,0.7090196402687022,NaN,NaN,NaN,220,22,5.0106352940962555
220,22,4.247916666666667,day,1.2509338094085727,NaN,NaN,NaN,220,22,5.0106352940962555
220,25,1.0395833333333333,day,2.193648310149959,NaN,NaN,NaN,220,25,5.5093883366279774
220,25,1.2243055554166666,day,1.2215036078766481,NaN,NaN,NaN,220,25,5.5093883366279774
220,25,2.00486111125,day,1.382427963898886,NaN,NaN,NaN,220,25,5.5093883366279774
220,25,2.2784722220833333,day,1.323594378376906,NaN,NaN,NaN,220,25,5.5093883366279774
220,25,3.029166666666667,day,1.2473012528036957,NaN,NaN,NaN,220,25,5.5093883366279774
220,25,3.220833333333333,day,1.0743828106661304,NaN,NaN,NaN,220,25,5.5093883366279774
220,25,4.018055555416667,day,1.339079096156815,NaN,NaN,NaN,220,25,5.5093883366279774
220,25,4.263194445833333,day,0.9946586948311764,NaN,NaN,NaN,220,25,5.5093883366279774
220,28,1.0583333333333333,day,0.8468503757392528,NaN,NaN,NaN,220,28,6.222576268071369
220,28,2.018055555416667,day,0.8190671559745842,NaN,NaN,NaN,220,28,6.222576268071369
220,28,2.29236111125,day,1.277199193601584,NaN,NaN,NaN,220,28,6.222576268071369
220,28,3.046527777916667,day,1.229703024593747,NaN,NaN,NaN,220,28,6.222576268071369
220,28,3.234722222083333,day,0.7208408794355825,NaN,NaN,NaN,220,28,6.222576268071369
220,28,4.031944444583334,day,1.0056216164526741,NaN,NaN,NaN,220,28,6.222576268071369
220,28,4.2826388875,day,0.7246909559591965,NaN,NaN,NaN,220,28,6.222576268071369
220,28,4.978472220833333,day,0.8133961890821024,NaN,NaN,NaN,220,28,6.222576268071369
330,13,1.0819444445833333,day,1.66620672012071,NaN,NaN,NaN,330,13,5.805134968916488
330,13,3.0715277779166663,day,0.7587445411347106,NaN,NaN,NaN,330,13,5.805134968916488
330,13,4.075,day,0.6794641855995972,NaN,NaN,NaN,330,13,5.805134968916488
330,13,4.995833333333334,day,0.4860786998467067,NaN,NaN,NaN,330,13,5.805134968916488
330,13,6.2486111125,day,0.5062342919619112,NaN,NaN,NaN,330,13,5.805134968916488
330,13,6.990277779166667,day,0.47647567895101534,NaN,NaN,NaN,330,13,5.805134968916488
330,16,1.0965277779166667,day,1.7288507622624696,NaN,NaN,NaN,330,16,6.22455842927536
330,16,2.060416666666667,day,1.0456727005110174,NaN,NaN,NaN,330,16,6.22455842927536
330,16,3.08888888875,day,0.9708335222740427,NaN,NaN,NaN,330,16,6.22455842927536
330,16,4.088194444583333,day,0.8985049883087247,NaN,NaN,NaN,330,16,6.22455842927536
330,16,5.009027779166667,day,0.7487863223852289,NaN,NaN,NaN,330,16,6.22455842927536
330,16,6.263888887499999,day,0.6239276988343195,NaN,NaN,NaN,330,16,6.22455842927536
330,16,7.008333333333333,day,0.7512669366745813,NaN,NaN,NaN,330,16,6.22455842927536
330,19,1.1104166666666666,day,1.0699589561664948,NaN,NaN,NaN,330,19,6.904750769961838
330,19,2.075694444583333,day,0.8009680977834612,NaN,NaN,NaN,330,19,6.904750769961838
330,19,3.1020833333333333,day,0.8316367248395071,NaN,NaN,NaN,330,19,6.904750769961838
330,19,4.10138888875,day,0.8648719143320863,NaN,NaN,NaN,330,19,6.904750769961838
330,19,5.0236111125,day,0.7737499625234242,NaN,NaN,NaN,330,19,6.904750769961838
330,22,1.0243055554166667,day,2.2672089182706685,NaN,NaN,NaN,330,22,6.285998094508865
330,22,1.9895833333333333,day,0.5989224621681544,NaN,NaN,NaN,330,22,6.285998094508865
330,22,2.265972222083333,day,0.8775985126032819,NaN,NaN,NaN,330,22,6.285998094508865
