DAY,Temperature,N.Treatment,HOUR,MINUTE,Particles.per.ml,Hours.since.Innoc,day,log.Particles.per.ml
2,28,330,18,40,2946,55.16666667,2.29861111125,7.988542982737695
2,28,440,18,42,2273,55.2,2.3000000000000003,7.729295674310482
3,22,0,9,2,6580,69.53333333,2.8972222220833337,8.791941988456118
3,22,11,9,12,21862,69.7,2.904166666666667,9.992550989276888
3,22,22,9,14,16919,69.73333333,2.9055555554166665,9.736251633160215
3,22,33,9,16,24728,69.76666667,2.9069444445833335,10.115731922981338
3,22,55,9,18,7878,69.8,2.908333333333333,8.971956271245688
3,22,110,9,20,9506,69.83333333,2.9097222220833334,9.15978364835903
3,22,220,9,22,6246,69.86666667,2.91111111125,8.73985662749357
3,22,330,9,26,10677,69.93333333,2.91388888875,9.275940829060131
3,22,440,9,28,5828,69.96666667,2.9152777779166663,8.67060073804555
3,25,0,9,4,10184,69.56666667,2.89861111125,9.228671328660907
3,25,11,9,35,23635,70.08333333,2.92013888875,10.070526252465566
3,25,22,9,39,28851,70.15,2.922916666666667,10.269934593623564
3,25,33,9,44,66504,70.23333333,2.9263888887499996,11.105032411787397
3,25,55,9,46,15181,70.26666667,2.927777777916667,9.627865794576714
3,25,110,9,48,36429,70.3,2.9291666666666667,10.503147890002609
3,25,220,9,51,38810,70.35,2.93125,10.566458990586012
3,25,330,9,53,26415,70.38333333,2.93263888875,10.181725166159909
3,25,440,9,55,31758,70.41666667,2.9340277779166666,10.365931428719277
3,28,0,9,6,5329,69.6,2.9,8.58110651715989
3,28,11,10,10,16148,70.66666667,2.944444444583333,9.689613407229068
3,28,22,10,14,41643,70.73333333,2.947222222083333,10.636912579594643
3,28,33,10,16,51551,70.76666667,2.9486111112500004,10.8503462859767
3,28,55,10,18,21751,70.8,2.9499999999999997,9.987460986312307
3,28,110,10,20,28820,70.83333333,2.95138888875,10.268859567077849
3,28,220,10,22,37653,70.86666667,2.952777777916667,10.536194469284657
3,28,330,10,24,20520,70.9,2.954166666666667,9.929204031040765
3,28,440,10,26,28822,70.93333333,2.9555555554166664,10.268928958514973
3,13,0,10,35,3856,71.08333333,2.961805555416667,8.257644958208228
3,13,11,10,47,1179,71.28333333,2.97013888875,7.07326971745971
3,13,22,10,49,1219,71.31666667,2.9715277779166667,7.106606137727303
3,13,33,10,51,1347,71.35,2.9729166666666664,7.206377291472252
3,13,55,10,53,2041,71.38333333,2.9743055554166666,7.621684998724611
3,13,110,10,55,1238,71.41666667,2.975694444583333,7.122059881629142
3,13,220,10,59,2100,71.48333333,2.978472222083333,7.650168700845001
3,13,330,11,2,2691,71.53333333,2.9805555554166667,7.898039690764619
3,13,440,11,5,2850,71.58333333,2.98263888875,7.955425088912672
3,16,0,10,37,5456,71.11666667,2.9631944445833334,8.604654467186231
3,16,11,11,16,4715,71.76666667,2.990277777916667,8.458716261657262
3,16,22,11,19,2852,71.81666667,2.99236111125,7.9561263512135
3,16,33,11,21,2580,71.85,2.99375,7.855932199718614
3,16,55,11,23,4401,71.88333333,2.99513888875,8.389814262086407
3,16,110,11,25,1772,71.91666667,2.9965277779166666,7.480428306074208
3,16,220,11,28,4880,71.96666667,2.99861111125,8.493105395887147
3,16,330,11,36,7902,72.1,3.0041666666666664,8.974997713204976
3,16,440,11,38,3159,72.13333333,3.0055555554166666,8.058327306580958
3,19,0,10,41,4649,71.18333333,2.9659722220833333,8.444622498581403
3,19,11,11,44,13664,72.23333333,3.009722222083333,9.522593098362169
3,19,22,11,47,21351,72.28333333,3.0118055554166667,9.968900691084361
3,19,33,11,49,32576,72.31666667,3.0131944445833336,10.39136179688501
