DAY,Temperature,N.Treatment,HOUR,MINUTE,Particles.per.ml,Hours.since.Innoc
4,28,0,11,23,6180,95.88333333
4,28,1,12,16,21893,96.76666667
4,28,2,12,18,35156,96.8
4,28,3,12,20,61023,96.83333333
4,28,4,12,22,67071,96.86666667
4,28,5,12,24,138608,96.9
4,28,6,12,26,183002,96.93333333
4,28,7,12,30,172184,97
4,28,8,12,32,174295,97.03333333
4,13,0,15,3,4066,99.55
4,13,1,15,16,4555,99.76666667
4,13,2,15,19,6358,99.81666667
4,13,3,15,25,12829,99.91666667
4,13,4,15,26,3710,99.93333333
4,13,5,15,29,3019,99.98333333
4,13,6,15,31,12767,100.0166667
4,13,7,15,33,6884,100.05
4,13,8,15,35,5021,100.0833333
4,16,0,15,6,5511,99.6
4,16,1,15,42,20533,100.2
4,16,2,15,44,23961,100.2333333
4,16,3,15,46,29400,100.2666667
4,16,4,15,47,34930,100.2833333
4,16,5,15,49,12341,100.3166667
4,16,6,15,52,14166,100.3666667
4,16,7,15,54,17420,100.4
4,16,8,15,56,10071,100.4333333
4,19,0,15,8,7225,99.63333333
4,19,1,16,1,26036,100.5166667
4,19,2,16,4,25615,100.5666667
4,19,3,16,6,47488,100.6
4,19,4,16,8,50343,100.6333333
4,19,5,16,10,67214,100.6666667
4,19,6,16,12,61977,100.7
4,19,7,16,14,67801,100.7333333
4,19,8,16,16,52840,100.7666667
4,22,0,15,10,8215,99.66666667
4,22,1,16,38,30024,101.1333333
4,22,2,16,40,36616,101.1666667
4,22,3,16,42,46119,101.2
4,22,4,16,45,57922,101.25
4,22,5,16,49,71080,101.3166667
4,22,6,16,52,73822,101.3666667
4,22,7,16,54,131159,101.4
4,22,8,16,56,92280,101.4333333
4,25,0,15,12,8835,99.7
4,25,1,17,10,18308,101.6666667
4,25,2,17,14,39119,101.7333333
4,25,3,17,16,74474,101.7666667
4,25,4,17,18,95082,101.8
4,25,5,17,20,173004,101.8333333
4,25,6,17,23,191177,101.8833333
4,25,7,17,31,218455,102.0166667
4,25,8,17,35,209616,102.0833333
4,28,0,15,14,5755,99.73333333
4,28,1,17,41,18076,102.1833333
4,28,2,17,43,47497,102.2166667
4,28,3,17,46,62272,102.2666667
4,28,4,17,48,74165,102.3
4,28,5,17,51,145418,102.35
4,28,6,17,53,191583,102.3833333
4,28,7,17,59,209733,102.4833333
4,28,8,18,0,206321,102.5
5,13,0,15,17,5549,123.7833333
5,13,1,15,30,13854,124
5,13,2,15,33,12103,124.05
5,13,3,15,35,6813,124.0833333
5,13,4,15,37,1290,124.1166667
5,13,5,15,39,2169,124.15
5,13,6,15,41,1407,124.1833333
5,13,7,15,43,1272,124.2166667
5,13,8,15,45,2509,124.25
5,16,0,15,19,5699,123.8166667
5,16,1,15,51,17815,124.35
5,16,2,15,53,37752,124.3833333
5,16,3,15,55,51895,124.4166667
5,16,4,15,57,72166,124.45
5,16,5,16,0,58119,124.5
5,16,6,16,2,23917,124.5333333
5,16,7,16,4,23697,124.5666667
5,16,8,16,6,46939,124.6
5,19,0,15,21,8167,123.85
5,19,1,16,13,27602,124.7166667
5,19,2,16,16,36620,124.7666667
5,19,3,16,18,78093,124.8
5,19,4,16,20,93045,124.8333333
5,19,5,16,22,134721,124.8666667
5,19,6,16,24,183035,124.9
5,19,7,16,26,185605,124.9333333
5,19,8,16,28,239521,124.9666667
5,22,0,15,23,6008,123.8833333
5,22,1,16,33,35448,125.05
5,22,2,16,35,30623,125.0833333
5,22,3,16,38,52597,125.1333333
5,22,4,16,42,95143,125.2
5,22,5,16,44,108635,125.2333333
5,22,6,16,46,191566,125.2666667
5,22,7,16,48,221506,125.3
5,22,8,16,50,146820,125.3333333
5,25,0,15,25,8929,123.9166667
5,25,1,16,55,25196,125.4166667
5,25,2,16,57,36216,125.45
5,25,3,16,59,59887,125.4833333
5,25,4,17,3,98593,125.55
5,25,5,17,5,188102,125.5833333
5,25,6,17,8,292936,125.6333333
5,25,7,17,10,307238,125.6666667
5,25,8,17,12,240922,125.7
5,28,0,15,28,5892,123.9666667
5,28,1,17,17,20798,125.7833333
5,28,2,17,19,35088,125.8166667
5,28,3,17,21,59204,125.85
5,28,4,17,24,81254,125.9
5,28,5,17,26,137531,125.9333333
5,28,6,17,28,286325,125.9666667
5,28,7,17,30,297281,126
5,28,8,17,31,283378,126.0166667
6,13,0,19,50,6235,152.3333333
6,13,1,19,52,19305,152.3666667
6,13,2,19,54,31432,152.4
6,13,3,19,57,40722,152.45
6,13,4,20,0,11447,152.5
6,13,5,20,2,14137,152.5333333
6,13,6,20,4,9063,152.5666667
6,13,7,20,7,8842,152.6166667
6,13,8,20,9,7608,152.65
6,16,0,20,14,5219,152.7333333
6,16,1,20,17,20676,152.7833333
6,16,2,20,19,31809,152.8166667
6,16,3,20,21,51489,152.85
6,16,4,20,23,85990,152.8833333
6,16,5,20,25,171004,152.9166667
6,16,6,20,28,89025,152.9666667
6,16,7,20,30,65781,153
6,16,8,20,32,100770,153.0333333
7,13,0,12,16,5746,168.7666667
7,13,1,12,18,22829,168.8
7,13,2,12,20,35442,168.8333333
7,13,3,12,22,52856,168.8666667
7,13,4,12,25,54511,168.9166667
7,13,5,12,27,26381,168.95
7,13,6,12,29,30468,168.9833333
7,13,7,12,31,16149,169.0166667
7,13,8,12,33,17405,169.05
