DAY,Temperature,N.Treatment,HOUR,MINUTE,Particles.per.ml,Hours.since.Innoc,corrected_hour,corrected.hours.since.innoc
6,25,4,2,48,33048,136.8,14,148.8
6,25,5,2,50,52975,136.8333333,14,148.8333333
6,25,6,2,53,178791,136.8833333,14,148.8833333
6,25,7,2,55,160023,136.9166667,14,148.9166667
6,25,8,2,56,184009,136.9333333,14,148.9333333
6,13,0,12,34,2404,146.5666667,12,146.5666667
6,13,1,12,50,10366,146.8333333,12,146.8333333
6,13,2,12,52,8710,146.8666667,12,146.8666667
6,13,3,12,54,11588,146.9,12,146.9
6,13,4,12,57,10044,146.95,12,146.95
6,13,5,12,59,8742,146.9833333,12,146.9833333
6,13,6,1,1,9245,135.0166667,13,147.0166667
6,13,7,1,3,9266,135.05,13,147.05
6,13,8,1,5,11974,135.0833333,13,147.0833333
6,16,0,12,37,1791,146.6166667,12,146.6166667
6,16,1,1,16,9379,135.2666667,13,147.2666667
6,16,2,1,19,17837,135.3166667,13,147.3166667
6,16,3,1,22,23086,135.3666667,13,147.3666667
6,16,4,1,24,21452,135.4,13,147.4
6,16,5,1,26,19280,135.4333333,13,147.4333333
6,16,6,1,28,15785,135.4666667,13,147.4666667
6,16,7,1,30,16313,135.5,13,147.5
6,16,8,1,33,20352,135.55,13,147.55
6,19,0,12,39,1908,146.65,12,146.65
6,19,1,1,46,10674,135.7666667,13,147.7666667
6,19,2,1,49,19158,135.8166667,13,147.8166667
6,19,3,1,51,25616,135.85,13,147.85
6,19,4,1,54,36649,135.9,13,147.9
6,19,5,1,57,66038,135.95,13,147.95
6,19,6,1,59,85612,135.9833333,13,147.9833333
6,19,7,2,2,83009,136.0333333,14,148.0333333
6,19,8,2,4,95858,136.0666667,14,148.0666667
6,28,0,12,46,1466,146.7666667,12,146.7666667
6,28,1,3,7,5604,137.1166667,15,149.1166667
6,28,2,3,9,9553,137.15,15,149.15
6,28,3,3,13,12779,137.2166667,15,149.2166667
6,28,4,3,15,10892,137.25,15,149.25
6,28,5,3,18,10998,137.3,15,149.3
6,28,6,3,20,11446,137.3333333,15,149.3333333
6,28,7,3,22,11150,137.3666667,15,149.3666667
6,28,8,3,24,9478,137.4,15,149.4
7,13,0,9,26,1811,167.4333333,21,179.4333333
7,13,1,9,29,7304,167.4833333,21,179.4833333
7,13,2,9,44,10853,167.7333333,21,179.7333333
7,13,3,9,46,8870,167.7666667,21,179.7666667
7,13,4,9,49,7623,167.8166667,21,179.8166667
7,13,5,9,52,8278,167.8666667,21,179.8666667
7,13,6,9,55,10269,167.9166667,21,179.9166667
7,13,7,9,57,11692,167.95,21,179.95
7,13,8,10,2,13503,168.0333333,22,180.0333333
